n01440764	[tench],[Tinca tinca]
n01737021	[water snake]
n01739381	[vine snake]
n01740131	[night snake],[Hypsiglena torquata]
n01742172	[boa constrictor],[Constrictor constrictor]【蠎】
n01744401	[rock python],[rock snake],[Python sebae]【錦蛇】
n01748264	[Indian cobra],[Naja naja]
n01749939	[green mamba]
n01751748	[sea snake]【海蛇】
n01753488	[horned viper],[cerastes],[sand viper],[horned asp],[Cerastes cornutus]
n01755581	[diamondback],[diamondback rattlesnake],[Crotalus adamanteus]【ダイヤガラガラヘビ】
n01756291	[sidewinder],[horned rattlesnake],[Crotalus cerastes]【ヨコバイガラガラヘビ】
n01768244	[trilobite]【三葉虫】
n01770081	[harvestman],[daddy longlegs],[Phalangium opilio]【蚊蜻蛉】
n01770393	[scorpion]【蠍】
n01773157	[black and gold garden spider],[Argiope aurantia]
n01773549	[barn spider],[Araneus cavaticus]
n01773797	[garden spider],[Aranea diademata]
n01774384	[black widow],[Latrodectus mactans]
n01774750	[tarantula]【タランチュラ】
n01775062	[wolf spider],[hunting spider]【コモリグモ】
n01776313	[tick]【蒲団皮】
n01784675	[centipede]【蜈蚣】
n01795545	[black grouse]【クロライチョウ】
n01796340	[ptarmigan]【雷鳥】
n01797886	[ruffed grouse],[partridge],[Bonasa umbellus]【鷓鴣】
n01798484	[prairie chicken],[prairie grouse],[prairie fowl]【軽い】
n01806143	[peacock]【越鳥】
n01806567	[quail]【鶉】
n01807496	[partridge]【鷓鴣】
n01817953	[African grey],[African gray],[Psittacus erithacus]
n01818515	[macaw]
n01819313	[sulphur-crested cockatoo],[Kakatoe galerita],[Cacatua galerita]
n01820546	[lorikeet]
n01824575	[coucal]
n01828970	[bee eater]
n01829413	[hornbill]【犀鳥】
n01833805	[hummingbird]【蜂鳥】
n01843065	[jacamar]
n01843383	[toucan]【大嘴】
n01847000	[drake]【鴨】
n01855032	[red-breasted merganser],[Mergus serrator]【海秋沙】
n01855672	[goose]【鵞鳥】
n01860187	[black swan],[Cygnus atratus]【黒鳥】
n01871265	[tusker]
n01872401	[echidna],[spiny anteater],[anteater]【針土竜】
n01873310	[platypus],[duckbill],[duckbilled platypus],[duck-billed platypus],[Ornithorhynchus anatinus]【鴨の嘴】
n01877812	[wallaby],[brush kangaroo]【ワラビー】
n01882714	[koala],[koala bear],[kangaroo bear],[native bear],[Phascolarctos cinereus]【袋熊】
n01883070	[wombat]【袋熊擬き】
n01910747	[jellyfish]【海月】
n01914609	[sea anemone],[anemone]【磯巾着】
n01917289	[brain coral]【脳珊瑚】
n01924916	[flatworm],[platyhelminth]【扁虫類】
n01930112	[nematode],[nematode worm],[roundworm]【袋形動物】
n01943899	[conch]【貝】
n01944390	[snail]【螺】
n01945685	[slug]【鈍間】
n01950731	[sea slug],[nudibranch]【海鼠】
n01955084	[chiton],[coat-of-mail shell],[sea cradle],[polyplacophore]【ヒザラガイ】
n01968897	[chambered nautilus],[pearly nautilus],[nautilus]【鸚鵡貝】
n01978287	[Dungeness crab],[Cancer magister]
n01978455	[rock crab],[Cancer irroratus]
n01980166	[fiddler crab]
n01981276	[king crab],[Alaska crab],[Alaskan king crab],[Alaska king crab],[Paralithodes camtschatica]【鱈場蟹】
n01983481	[American lobster],[Northern lobster],[Maine lobster],[Homarus americanus]
n01984695	[spiny lobster],[langouste],[rock lobster],[crawfish],[crayfish],[sea crawfish]【蝦】
n01985128	[crayfish],[crawfish],[crawdad],[crawdaddy]【鰕】
n01986214	[hermit crab]【陸宿借り】
n01990800	[isopod]【等脚目】
n02002556	[white stork],[Ciconia ciconia]【シュバシコウ】
n02002724	[black stork],[Ciconia nigra]【ナベコウ】
n02006656	[spoonbill]【箆鷺】
n02007558	[flamingo]【紅鶴】
n02009229	[little blue heron],[Egretta caerulea]
n02009912	[American egret],[great white heron],[Egretta albus]
n02011460	[bittern]【苦汁】
n02012849	[crane]【鶴】
n02013706	[limpkin],[Aramus pictus]
n02017213	[European gallinule],[Porphyrio porphyrio]
n02018207	[American coot],[marsh hen],[mud hen],[water hen],[Fulica americana]【アメリカオオバン】
n02018795	[bustard]
n02025239	[ruddy turnstone],[Arenaria interpres]
n02027492	[red-backed sandpiper],[dunlin],[Erolia alpina]【ハマシギ】
n02028035	[redshank],[Tringa totanus]
n02033041	[dowitcher]
n02037110	[oystercatcher],[oyster catcher]【ミヤコドリ族】
n02051845	[pelican]【伽藍鳥】
n02056570	[king penguin],[Aptenodytes patagonica]【キングペンギン】
n02058221	[albatross],[mollymawk]【馬鹿鳥】
n02066245	[grey whale],[gray whale],[devilfish],[Eschrichtius gibbosus],[Eschrichtius robustus]【糸巻エイ】
n02071294	[killer whale],[killer],[orca],[grampus],[sea wolf],[Orcinus orca]【鯱】
n02074367	[dugong],[Dugong dugon]【海牛】
n02077923	[sea lion]【葦鹿】
n02085620	[Chihuahua]【チワワ】
n02085782	[Japanese spaniel]【狆】
n02085936	[Maltese dog],[Maltese terrier],[Maltese]【マルチーズ】
n02086079	[Pekinese],[Pekingese],[Peke]【ペキニーズ】
n02086240	[Shih-Tzu]【シーズー】
n02086646	[Blenheim spaniel]【ブレナムスパニエル】
n02086910	[papillon]【パピヨン】
n02087046	[toy terrier]【トイテリア】
n02087394	[Rhodesian ridgeback]
n02088094	[Afghan hound],[Afghan]【アフガン編み】
n02088238	[basset],[basset hound]【バセットハウンド】
n02088364	[beagle]【ビーグル】
n02088466	[bloodhound],[sleuthhound]【警察犬】
n02088632	[bluetick]
n02089078	[black-and-tan coonhound]
n02089867	[Walker hound],[Walker foxhound]
n02089973	[English foxhound]
n02090379	[redbone]
n02090622	[borzoi],[Russian wolfhound]【ボルゾイ】
n02090721	[Irish wolfhound]【アイリッシュウルフハウンド】
n02091032	[Italian greyhound]【イタリアン・グレーハウンド】
n02091134	[whippet]
n02091244	[Ibizan hound],[Ibizan Podenco]
n02091467	[Norwegian elkhound],[elkhound]
n02091635	[otterhound],[otter hound]【オッターハウンド】
n02091831	[Saluki],[gazelle hound]
n02092002	[Scottish deerhound],[deerhound]
n02092339	[Weimaraner]
n02093256	[Staffordshire bullterrier],[Staffordshire bull terrier]
n02093428	[American Staffordshire terrier],[Staffordshire terrier],[American pit bull terrier],[pit bull terrier]【アメリカン・ピット・ブル・テリア】
n02093647	[Bedlington terrier]【ベドリントン・テリア】
n02093754	[Border terrier]
n02093859	[Kerry blue terrier]
n02093991	[Irish terrier]
n02094114	[Norfolk terrier]
n02094258	[Norwich terrier]
n02094433	[Yorkshire terrier]【ヨークシャーテリア】
n02095314	[wire-haired fox terrier]
n02095570	[Lakeland terrier]
n02095889	[Sealyham terrier],[Sealyham]
n02096051	[Airedale],[Airedale terrier]
n02096177	[cairn],[cairn terrier]【ケルン】
n02096294	[Australian terrier]
n02096437	[Dandie Dinmont],[Dandie Dinmont terrier]
n02096585	[Boston bull],[Boston terrier]
n02097047	[miniature schnauzer]【陥れる】
n02097130	[giant schnauzer]【ジャイアント・シュナウザー】
n02097209	[standard schnauzer]
n02097298	[Scotch terrier],[Scottish terrier],[Scottie]【スコッチテリア】
n02097474	[Tibetan terrier],[chrysanthemum dog]
n02097658	[silky terrier],[Sydney silky]
n02098105	[soft-coated wheaten terrier]
n02098286	[West Highland white terrier]【ウエスト・ハイランド・ホワイト・テリア】
n02098413	[Lhasa],[Lhasa apso]【ラサ】
n02099267	[flat-coated retriever]
n02099429	[curly-coated retriever]
n02099601	[golden retriever]【ゴールデン・レトリバー】
n02099712	[Labrador retriever]【ラブラドール・レトリバー】
n02099849	[Chesapeake Bay retriever]【チェサピーク・ベイ・レトリーバー】
n02100236	[German short-haired pointer]【高齢の】
n02100583	[vizsla],[Hungarian pointer]
n02100735	[English setter]
n02100877	[Irish setter],[red setter]【アイリッシュ・セッター】
n02101006	[Gordon setter]
n02101388	[Brittany spaniel]
n02101556	[clumber],[clumber spaniel]
n02102040	[English springer],[English springer spaniel]【イングリッシュ・スプリンガー・スパニエル】
n02102177	[Welsh springer spaniel]【ウェルシュスプリンガースパニエル】
n02102318	[cocker spaniel],[English cocker spaniel],[cocker]【撫育】
n02102480	[Sussex spaniel]
n02102973	[Irish water spaniel]
n02104029	[kuvasz]
n02104365	[schipperke]
n02105056	[groenendael]
n02105162	[malinois]
n02105251	[briard]
n02105412	[kelpie]
n02105505	[komondor]
n02105641	[Old English sheepdog],[bobtail]【ボブテール】
n02105855	[Shetland sheepdog],[Shetland sheep dog],[Shetland]【シェットランド・シープドッグ】
n02106030	[collie]【コリー】
n02106166	[Border collie]【ボーダー・コリー】
n02106382	[Bouvier des Flandres],[Bouviers des Flandres]
n02106550	[Rottweiler]
n02106662	[German shepherd],[German shepherd dog],[German police dog],[alsatian]【シェパード】
n02107142	[Doberman],[Doberman pinscher]
n02107312	[miniature pinscher]【ミニチュア・ピンシャー】
n02107574	[Greater Swiss Mountain dog]
n02107683	[Bernese mountain dog]【バーニーズ・マウンテン・ドッグ】
n02107908	[Appenzeller]
n02108000	[EntleBucher]
n02108089	[boxer]【闘士】
n02108422	[bull mastiff]
n02108551	[Tibetan mastiff]【チベタンマスチフ】
n02108915	[French bulldog]【フレンチ・ブルドッグ】
n02109047	[Great Dane]【グレートデン】
n02109525	[Saint Bernard],[St Bernard]【サンベルナール峠】
n02109961	[Eskimo dog],[husky]【嗄れ】
n02110063	[malamute],[malemute],[Alaskan malamute]【アラスカン・マラミュート】
n02110185	[Siberian husky]【シベリアンハスキー】
n02110341	[dalmatian],[coach dog],[carriage dog]
n02110627	[affenpinscher],[monkey pinscher],[monkey dog]【アーフェンピンシャー】
n02110806	[basenji]
n02110958	[pug],[pug-dog]【パグ】
n02111129	[Leonberg]
n02111277	[Newfoundland],[Newfoundland dog]
n02111500	[Great Pyrenees]
n02111889	[Samoyed],[Samoyede]
n02112018	[Pomeranian]【スピッツ】
n02112137	[chow],[chow chow]【飼料】
n02112350	[keeshond]
n02112706	[Brabancon griffon]【ブラバンソングリフォン】
n02113023	[Pembroke],[Pembroke Welsh corgi]【ペンブローク】
n02113186	[Cardigan],[Cardigan Welsh corgi]【セーター】
n02113624	[toy poodle]
n02113712	[miniature poodle]
n02113799	[standard poodle]
n02113978	[Mexican hairless]
n02114367	[timber wolf],[grey wolf],[gray wolf],[Canis lupus]【灰色狼】
n02114548	[white wolf],[Arctic wolf],[Canis lupus tundrarum]
n02114712	[red wolf],[maned wolf],[Canis rufus],[Canis niger]【赤狼】
n02114855	[coyote],[prairie wolf],[brush wolf],[Canis latrans]【ヤマイヌ】
n02115641	[dingo],[warrigal],[warragal],[Canis dingo]【ディンゴ】
n02115913	[dhole],[Cuon alpinus]
n02116738	[African hunting dog],[hyena dog],[Cape hunting dog],[Lycaon pictus]
n02117135	[hyena],[hyaena]【ハイエナ】
n02119022	[red fox],[Vulpes vulpes]
n02119789	[kit fox],[Vulpes macrotis]
n02120079	[Arctic fox],[white fox],[Alopex lagopus]【白狐】
n02120505	[grey fox],[gray fox],[Urocyon cinereoargenteus]
n02123045	[tabby],[tabby cat]【虎猫】
n02123159	[tiger cat]【虎猫】
n02123394	[Persian cat]【ペルシア猫】
n02123597	[Siamese cat],[Siamese]【シャム猫】
n02124075	[Egyptian cat]
n02125311	[cougar],[puma],[catamount],[mountain lion],[painter],[panther],[Felis concolor]【黒豹】
n02127052	[lynx],[catamount]【山猫】
n02128385	[leopard],[Panthera pardus]【豹】
n02128757	[snow leopard],[ounce],[Panthera uncia]【欠片】
n02128925	[jaguar],[panther],[Panthera onca],[Felis onca]【黒豹】
n02129165	[lion],[king of beasts],[Panthera leo]【金毛】
n02129604	[tiger],[Panthera tigris]【豪雄】
n02130308	[cheetah],[chetah],[Acinonyx jubatus]【チーター】
n02132136	[brown bear],[bruin],[Ursus arctos]【羆】
n02133161	[American black bear],[black bear],[Ursus americanus],[Euarctos americanus]【黒熊】
n02134084	[ice bear],[polar bear],[Ursus Maritimus],[Thalarctos maritimus]【白熊】
n02134418	[sloth bear],[Melursus ursinus],[Ursus ursinus]
n02137549	[mongoose]【マングース】
n02138441	[meerkat],[mierkat]【ミーアキャット】
n02165105	[tiger beetle]【道標】
n02165456	[ladybug],[ladybeetle],[lady beetle],[ladybird],[ladybird beetle]【瓢虫】
n02167151	[ground beetle],[carabid beetle]【蚯蚓】
n02168699	[long-horned beetle],[longicorn],[longicorn beetle]【髪切り虫】
n02169497	[leaf beetle],[chrysomelid]【金花虫】
n02172182	[dung beetle]【糞虫】
n02174001	[rhinoceros beetle]【甲虫】
n02177972	[weevil]【象虫】
n02190166	[fly]【飛行】
n02206856	[bee]【ハナバチ】
n02219486	[ant],[emmet],[pismire]【蟻】
n02226429	[grasshopper],[hopper]【飛蝗】
n02229544	[cricket]【鈴虫】
n02231487	[walking stick],[walkingstick],[stick insect]【松葉杖】
n02233338	[cockroach],[roach]【諸子】
n02236044	[mantis],[mantid]【鎌切】
n02256656	[cicada],[cicala]【蝉】
n02259212	[leafhopper]【褄黒横這い】
n02264363	[lacewing],[lacewing fly]
n02268443	[dragonfly],[darning needle],[devil's darning needle],[sewing needle],[snake feeder],[snake doctor],[mosquito hawk],[skeeter hawk]【麦藁蜻蛉】
n02268853	[damselfly]【鉄漿蜻蛉】
n02276258	[admiral]【提督】
n02277742	[ringlet],[ringlet butterfly]【毛巻き】
n02279972	[monarch],[monarch butterfly],[milkweed butterfly],[Danaus plexippus]【諸王】
n02280649	[cabbage butterfly]【紋白蝶】
n02281406	[sulphur butterfly],[sulfur butterfly]
n02281787	[lycaenid],[lycaenid butterfly]【蜆蝶】
n02317335	[starfish],[sea star]【海星】
n02319095	[sea urchin]【雲丹】
n02321529	[sea cucumber],[holothurian]【海鼠】
n02325366	[wood rabbit],[cottontail],[cottontail rabbit]
n02326432	[hare]【野兎】
n02328150	[Angora],[Angora rabbit]【アンゴラ】
n02342885	[hamster]【ハムスター】
n02346627	[porcupine],[hedgehog]【防砦】
n02356798	[fox squirrel],[eastern fox squirrel],[Sciurus niger]
n02361337	[marmot]【モルモット】
n02363005	[beaver]【海狸】
n02364673	[guinea pig],[Cavia cobaya]【試験台】
n02389026	[sorrel]【羊蹄】
n02391049	[zebra]【縞馬】
n02395406	[hog],[pig],[grunter],[squealer],[Sus scrofa]【飼い豚】
n02396427	[wild boar],[boar],[Sus scrofa]【野猪】
n02397096	[warthog]【疣猪】
n02398521	[hippopotamus],[hippo],[river horse],[Hippopotamus amphibius]【河馬】
n02403003	[ox]【雄牛】
n02408429	[water buffalo],[water ox],[Asiatic buffalo],[Bubalus bubalis]【野牛】
n02410509	[bison]【野牛】
n02412080	[ram],[tup]【雄羊】
n02415577	[bighorn],[bighorn sheep],[cimarron],[Rocky Mountain bighorn],[Rocky Mountain sheep],[Ovis canadensis]
n02417914	[ibex],[Capra ibex]
n02422106	[hartebeest]【ハーテビースト】
n02422699	[impala],[Aepyceros melampus]【インパラ】
n02423022	[gazelle]【ガゼール】
n02437312	[Arabian camel],[dromedary],[Camelus dromedarius]【単峰駱駝】
n02437616	[llama]【喇嘛】
n02441942	[weasel]【鼬鼠】
n02442845	[mink]【鼬鼠】
n02443114	[polecat],[fitch],[foulmart],[foumart],[Mustela putorius]【鼬鼠】
n02443484	[black-footed ferret],[ferret],[Mustela nigripes]【フェレット】
n02444819	[otter]【獺】
n02445715	[skunk],[polecat],[wood pussy]【鼻摘み】
n02447366	[badger]【貛】
n02454379	[armadillo]【鎧鼠】
n02457408	[three-toed sloth],[ai],[Bradypus tridactylus]
n02480495	[orangutan],[orang],[orangutang],[Pongo pygmaeus]【猩猩】
n02480855	[gorilla],[Gorilla gorilla]【大猩猩】
n02481823	[chimpanzee],[chimp],[Pan troglodytes]【黒猩猩】
n02483362	[gibbon],[Hylobates lar]【手長猿】
n02483708	[siamang],[Hylobates syndactylus],[Symphalangus syndactylus]【フクロテナガザル】
n02484975	[guenon],[guenon monkey]【尾長猿】
n02486261	[patas],[hussar monkey],[Erythrocebus patas]
n02486410	[baboon]【狒狒】
n02487347	[macaque]【マカク属】
n02488291	[langur]【瘠猿】
n02488702	[colobus],[colobus monkey]【コロブス】
n02489166	[proboscis monkey],[Nasalis larvatus]【天狗猿】
n02490219	[marmoset]【マーモセット】
n02492035	[capuchin],[ringtail],[Cebus capucinus]【尾巻猿】
n02492660	[howler monkey],[howler]【吠猿】
n02493509	[titi],[titi monkey]【ティティ】
n02493793	[spider monkey],[Ateles geoffroyi]【蜘蛛猿】
n02494079	[squirrel monkey],[Saimiri sciureus]【リスザル】
n02497673	[Madagascar cat],[ring-tailed lemur],[Lemur catta]
n02500267	[indri],[indris],[Indri indri],[Indri brevicaudatus]【インドリ】
n02504013	[Indian elephant],[Elephas maximus]【インドゾウ】
n02504458	[African elephant],[Loxodonta africana]【アフリカ象】
n02509815	[lesser panda],[red panda],[panda],[bear cat],[cat bear],[Ailurus fulgens]【熊猫】
n02510455	[giant panda],[panda],[panda bear],[coon bear],[Ailuropoda melanoleuca]【熊猫】
n02514041	[barracouta],[snoek]
n02526121	[eel]【鰻】
n02536864	[coho],[cohoe],[coho salmon],[blue jack],[silver salmon],[Oncorhynchus kisutch]
n02606052	[rock beauty],[Holocanthus tricolor]
n02607072	[anemone fish]【クマノミ】
n02640242	[sturgeon]【鱣】
n02641379	[gar],[garfish],[garpike],[billfish],[Lepisosteus osseus]【鱚】
n02643566	[lionfish]【ミノカサゴ】
n02655020	[puffer],[pufferfish],[blowfish],[globefish]【鉄砲】
n02666196	[abacus]【算盤】
n02667093	[abaya]【アバーヤ】
n02669723	[academic gown],[academic robe],[judge's robe]【法服】
n02672831	[accordion],[piano accordion],[squeeze box]【風琴】
n02676566	[acoustic guitar]【アコースティックギター】
n02687172	[aircraft carrier],[carrier],[flattop],[attack aircraft carrier]【郵便配達】
n02690373	[airliner]【旅客機】
n02692877	[airship],[dirigible]【飛行船】
n02699494	[altar]【霊室】
n02701002	[ambulance]【救急車】
n02704792	[amphibian],[amphibious vehicle]【水陸両用車】
n02708093	[analog clock]【アナログクロック】
n02727426	[apiary],[bee house]【養蜂場】
n02730930	[apron]【駐機場】
n02747177	[ashcan],[trash can],[garbage can],[wastebin],[ash bin],[ash-bin],[ashbin],[dustbin],[trash barrel],[trash bin]【芥箱】
n02749479	[assault rifle],[assault gun]【アサルトライフル】
n02769748	[backpack],[back pack],[knapsack],[packsack],[rucksack],[haversack]【背嚢】
n02776631	[bakery],[bakeshop],[bakehouse]【ベーカリー】
n02777292	[balance beam],[beam]【頬笑】
n02782093	[balloon]【風船】
n02783161	[ballpoint],[ballpoint pen],[ballpen],[Biro]
n02786058	[Band Aid]【絆創膏】
n02787622	[banjo]【バンジョー】
n02788148	[bannister],[banister],[balustrade],[balusters],[handrail]【高欄】
n02790996	[barbell]【バーベル】
n02791124	[barber chair]【理髪店のいす】
n02791270	[barbershop]【髪結床】
n02793495	[barn]【馬屋】
n02794156	[barometer]【験気器】
n02795169	[barrel],[cask]【銃身】
n02797295	[barrow],[garden cart],[lawn cart],[wheelbarrow]【猫車】
n02799071	[baseball]【野球ボール】
n02802426	[basketball]【籠球】
n02804414	[bassinet]
n02804610	[bassoon]【ファゴット】
n02807133	[bathing cap],[swimming cap]【海水帽】
n02808304	[bath towel]【湯手】
n02808440	[bathtub],[bathing tub],[bath],[tub]【風呂桶】
n02814533	[beach wagon],[station wagon],[wagon],[estate car],[beach waggon],[station waggon],[waggon]【駕】
n02814860	[beacon],[lighthouse],[beacon light],[pharos]【航路標識】
n02815834	[beaker]【ビーカー】
n02817516	[bearskin],[busby],[shako]【ベアスキン】
n02823428	[beer bottle]【ビール瓶】
n02823750	[beer glass]
n02825657	[bell cote],[bell cot]
n02834397	[bib]【金太郎腹掛け】
n02835271	[bicycle-built-for-two],[tandem bicycle],[tandem]【直列型】
n02837789	[bikini],[two-piece]【ビキニ】
n02840245	[binder],[ring-binder]【結合剤】
n02841315	[binoculars],[field glasses],[opera glasses]【眼鏡】
n02843684	[birdhouse]【鳥小屋】
n02859443	[boathouse]【遊船宿】
n02860847	[bobsled],[bobsleigh],[bob]【浮沈み】
n02865351	[bolo tie],[bolo],[bola tie],[bola]【ループタイ】
n02869837	[bonnet],[poke bonnet]【被り】
n02870880	[bookcase]【総書】
n02871525	[bookshop],[bookstore],[bookstall]【本屋】
n02877765	[bottlecap]
n02879718	[bow]【辞宜】
n02883205	[bow tie],[bow-tie],[bowtie]【蝶ネクタイ】
n02892201	[brass],[memorial tablet],[plaque]【黄銅】
n02892767	[brassiere],[bra],[bandeau]【ブラジャー】
n02894605	[breakwater],[groin],[groyne],[mole],[bulwark],[seawall],[jetty]【鼠頚部】
n02895154	[breastplate],[aegis],[egis]【腹巻き】
n02906734	[broom]【草箒】
n02909870	[bucket],[pail]【麻笥】
n02910353	[buckle]【締金】
n02916936	[bulletproof vest]【防弾チョッキ】
n02917067	[bullet train],[bullet]【銃弾】
n02927161	[butcher shop],[meat market]【肉屋】
n02930766	[cab],[hack],[taxi],[taxicab]【駕】
n02939185	[caldron],[cauldron]【鍋】
n02948072	[candle],[taper],[wax light]【蝋燭】
n02950826	[cannon]【龍頭】
n02951358	[canoe]【虚舟】
n02951585	[can opener],[tin opener]【罐切り】
n02963159	[cardigan]【襦袢】
n02965783	[car mirror]
n02966193	[carousel],[carrousel],[merry-go-round],[roundabout],[whirligig]【迂遠】
n02966687	[carpenter's kit],[tool kit]
n02971356	[carton]【ボール箱】
n02974003	[car wheel]
n02977058	[cash machine],[cash dispenser],[automated teller machine],[automatic teller machine],[automated teller],[automatic teller],[ATM]【自動金銭出入機】
n02978881	[cassette]【テープ】
n02979186	[cassette player]
n02980441	[castle]【館城】
n02981792	[catamaran]【双胴船】
n02988304	[CD player]【ＣＤプレーヤー】
n02992211	[cello],[violoncello]【チェロ】
n02992529	[cellular telephone],[cellular phone],[cellphone],[cell],[mobile phone]【電池】
n02999410	[chain]【鎖】
n03000134	[chainlink fence]
n03000247	[chain mail],[ring mail],[mail],[chain armor],[chain armour],[ring armor],[ring armour]【鎖帷子】
n03000684	[chain saw],[chainsaw]【鎖鋸】
n03014705	[chest]【胸間】
n03016953	[chiffonier],[commode]【褻器】
n03017168	[chime],[bell],[gong]【鹿鳴】
n03018349	[china cabinet],[china closet]
n03026506	[Christmas stocking]【クリスマスストッキング】
n03028079	[church],[church building]【聖堂】
n03032252	[cinema],[movie theater],[movie theatre],[movie house],[picture palace]【電影】
n03041632	[cleaver],[meat cleaver],[chopper]【牛刀】
n03042490	[cliff dwelling]
n03045698	[cloak]【鳶合羽】
n03047690	[clog],[geta],[patten],[sabot]【阻遏】
n03062245	[cocktail shaker]
n03063599	[coffee mug]【コーヒーマグ】
n03063689	[coffeepot]【コーヒーポット】
n03065424	[coil],[spiral],[volute],[whorl],[helix]【観世水】
n03075370	[combination lock]【組み合わせ錠】
n03085013	[computer keyboard],[keypad]【キーパッド】
n03089624	[confectionery],[confectionary],[candy store]【飴屋】
n03095699	[container ship],[containership],[container vessel]【フルコンテナ船】
n03100240	[convertible]【可変】
n03109150	[corkscrew],[bottle screw]【瓶抜き】
n03110669	[cornet],[horn],[trumpet],[trump]【警笛】
n03124043	[cowboy boot]【カウボーイブーツ】
n03124170	[cowboy hat],[ten-gallon hat]【テンガロンハット】
n03125729	[cradle]【離被架】
n03126707	[crane]【鶴】
n03127747	[crash helmet]
n03127925	[crate]【銭箱】
n03131574	[crib],[cot]【馬槽】
n03133878	[Crock Pot]
n03134739	[croquet ball]
n03141823	[crutch]【胯座】
n03146219	[cuirass]【胸当て】
n03160309	[dam],[dike],[dyke]【障壁】
n03179701	[desk]【釈台】
n03180011	[desktop computer]【デスクトップPC】
n03187595	[dial telephone],[dial phone]
n03188531	[diaper],[nappy],[napkin]【重ね】
n03196217	[digital clock]【デジタルクッロック】
n03197337	[digital watch]【デジタル時計】
n03201208	[dining table],[board]【飯台】
n03207743	[dishrag],[dishcloth]【布巾】
n03207941	[dishwasher],[dish washer],[dishwashing machine]【食洗機】
n03208938	[disk brake],[disc brake]【通風式ディスク】
n03216828	[dock],[dockage],[docking facility]【貯水池】
n03218198	[dogsled],[dog sled],[dog sleigh]【犬橇】
n03220513	[dome]【穹窿】
n03223299	[doormat],[welcome mat]【靴拭き】
n03240683	[drilling platform],[offshore rig]
n03249569	[drum],[membranophone],[tympan]【鼓手】
n03250847	[drumstick]【桴】
n03255030	[dumbbell]【鈍才】
n03259280	[Dutch oven]
n03271574	[electric fan],[blower]【電気扇】
n03272010	[electric guitar]【電気ギター】
n03272562	[electric locomotive]【電気機関車】
n03290653	[entertainment center]
n03291819	[envelope]【革】
n03297495	[espresso maker]
n03314780	[face powder]【香粉】
n03325584	[feather boa],[boa]【襟巻】
