n01440764	[tench]【テンチ】,[Tinca tinca]【】
n01828970	[bee eater]【ハチクイ】
n01829413	[hornbill]【サイチョウ】
n01833805	[hummingbird]【(アメリカ主の)ハチドリ】
n01843065	[jacamar]【キリハシ】
n01843383	[toucan]【オオハシ】
n01847000	[drake]【雄ガモ】
n01855032	[red-breasted merganser]【ウミアイサ】,[Mergus serrator]【】
n01855672	[goose]【がちょう】
n01860187	[black swan]【ブラックスワン】,[Cygnus atratus]【】
n01871265	[tusker]【(きばのある)象】
n01872401	[echidna]【ハリモグラ】,[spiny anteater]【】,[anteater]【アリクイ】
n01873310	[platypus]【カモノハシ】,[duckbill]【カモノハシ】,[duckbilled platypus]【】,[duck-billed platypus]【】,[Ornithorhynchus anatinus]【】
n01877812	[wallaby]【ワラビー】,[brush kangaroo]【】
n01882714	[koala]【コアラ】,[koala bear]【】,[kangaroo bear]【】,[native bear]【】,[Phascolarctos cinereus]【】
n01883070	[wombat]【ウオンバット】
n01910747	[jellyfish]【クラゲ】
n01914609	[sea anemone]【イソギンチャク】,[anemone]【アネモネ】
n01917289	[brain coral]【】
n01924916	[flatworm]【】,[platyhelminth]【】
n01930112	[nematode]【線虫】,[nematode worm]【】,[roundworm]【回虫】
n01943899	[conch]【ほら貝など】
n01944390	[snail]【カタツムリ】
n01945685	[slug]【…‘を'げんこつでぶんなぐる】
n01950731	[sea slug]【】,[nudibranch]【】
n01955084	[chiton]【】,[coat-of-mail shell]【】,[sea cradle]【】,[polyplacophore]【】
n01968897	[chambered nautilus]【=nautilus】,[pearly nautilus]【】,[nautilus]【オウムガイ】
n01978287	[Dungeness crab]【】,[Cancer magister]【】
n01978455	[rock crab]【】,[Cancer irroratus]【】
n01980166	[fiddler crab]【シオマネキ】
n01981276	[king crab]【】,[Alaska crab]【】,[Alaskan king crab]【】,[Alaska king crab]【】,[Paralithodes camtschatica]【】
n01983481	[American lobster]【】,[Northern lobster]【】,[Maine lobster]【】,[Homarus americanus]【】
n01984695	[spiny lobster]【】,[langouste]【】,[rock lobster]【】,[crawfish]【=crayfish】【=crayfish】,[crayfish]【ザリガニ】【ザリガニ】,[sea crawfish]【】
n01985128	[crayfish]【ザリガニ】【ザリガニ】,[crawfish]【=crayfish】【=crayfish】,[crawdad]【】,[crawdaddy]【】
n01986214	[hermit crab]【ヤドカリ】
n01990800	[isopod]【】
n02002556	[white stork]【】,[Ciconia ciconia]【】
n02002724	[black stork]【】,[Ciconia nigra]【】
n02006656	[spoonbill]【ヘラサギ】
n02007558	[flamingo]【ベニヅル】
n02009229	[little blue heron]【】,[Egretta caerulea]【】
n02009912	[American egret]【】,[great white heron]【】,[Egretta albus]【】
n02011460	[bittern]【サンカノゴイ】
n02012849	[crane]【ツル】【ツル】
n02013706	[limpkin]【】,[Aramus pictus]【】
n02017213	[European gallinule]【】,[Porphyrio porphyrio]【】
n02018207	[American coot]【】,[marsh hen]【】,[mud hen]【】,[water hen]【=moorhen】,[Fulica americana]【】
n02018795	[bustard]【野ガン】
n02025239	[ruddy turnstone]【】,[Arenaria interpres]【】
n02027492	[red-backed sandpiper]【】,[dunlin]【】,[Erolia alpina]【】
n02028035	[redshank]【】,[Tringa totanus]【】
n02033041	[dowitcher]【オオハシシギ】
n02037110	[oystercatcher]【ミヤコドリ】,[oyster catcher]【】
n02051845	[pelican]【ペリカン】
n02056570	[king penguin]【】,[Aptenodytes patagonica]【】
n02058221	[albatross]【アホウドリ】,[mollymawk]【】
n02066245	[grey whale]【】,[gray whale]【】,[devilfish]【=manta2】,[Eschrichtius gibbosus]【】,[Eschrichtius robustus]【】
n02071294	[killer whale]【サカマタ】,[killer]【殺人者】,[orca]【】,[grampus]【ハナゴンドウ】,[sea wolf]【】,[Orcinus orca]【】
n02074367	[dugong]【ジュゴン】,[Dugong dugon]【】
n02077923	[sea lion]【アシカ】
n02085620	[Chihuahua]【チワワ犬】
n02085782	[Japanese spaniel]【チン】
n02085936	[Maltese dog]【マルチーズ】,[Maltese terrier]【】,[Maltese]【マルタ[島]人】
n02086079	[Pekinese]【ペキニーズ】,[Pekingese]【北京人】,[Peke]【】
n02086240	[Shih-Tzu]【シーズー】
n02086646	[Blenheim spaniel]【バレンホイムスパニエル】
n02086910	[papillon]【パピロン】
n02087046	[toy terrier]【トイ・テリア】
n02087394	[Rhodesian ridgeback]【ローデシアン・リッジバック】
n02088094	[Afghan hound]【アフガン・ハインド】,[Afghan]【アフガニスタンの】
n02088238	[basset]【バセット犬】,[basset hound]【】
n02088364	[beagle]【ビーグル犬】
n02088466	[bloodhound]【ブラッドハウンド】,[sleuthhound]【】
n02088632	[bluetick]【ブルーティック・クーンハウンド】
n02089078	[black-and-tan coonhound]【ブラック・アンド・タン・クーンハウンド】
n02089867	[Walker hound]【ツリーイング・ウォーカー・クーンハウンド】,[Walker foxhound]【】
n02089973	[English foxhound]【イングリッシュ・フォックスハウンド】
n02090379	[redbone]【レッドボーン・クーンハウンド】
n02090622	[borzoi]【ボルゾイ】,[Russian wolfhound]【】
n02090721	[Irish wolfhound]【アイリッシュ・ウルフハウンド】
n02091032	[Italian greyhound]【イタリアン・グレイハウンド】
n02091134	[whippet]【ホイペット】
n02091244	[Ibizan hound]【イビザン・ハウンド】,[Ibizan Podenco]【】
n02091467	[Norwegian elkhound]【ノルウェジアン・エルクハウンド・グレー】,[elkhound]【エルクハウンド】
n02091635	[otterhound]【オッターハウンド】,[otter hound]【】
n02091831	[Saluki]【サルーキ】,[gazelle hound]【】
n02092002	[Scottish deerhound]【スコティッシュ・ディアハウンド】,[deerhound]【】
n02092339	[Weimaraner]【ワイマラナー】
n02093256	[Staffordshire bullterrier]【スタッフォードシャー・ブル・テリア】,[Staffordshire bull terrier]【】
n02093428	[American Staffordshire terrier]【アメリカン・スタッフォードシャー・テリア】,[Staffordshire terrier]【】,[American pit bull terrier]【】,[pit bull terrier]【】
n02093647	[Bedlington terrier]【ベドリントン・テリア】
n02093754	[Border terrier]【ボーダー・テリア】
n02093859	[Kerry blue terrier]【ケリー・ブルー・テリア】
n02093991	[Irish terrier]【アイリッシュ・テリア】
n02094114	[Norfolk terrier]【ノーフォーク・テリア】
n02094258	[Norwich terrier]【ノーリッチ・テリア】
n02094433	[Yorkshire terrier]【ヨークシャーテリア】
n02095314	[wire-haired fox terrier]【ワイアー・フォックス・テリア】
n02095570	[Lakeland terrier]【レークランド・テリア】
n02095889	[Sealyham terrier]【シーリハム・テリア】,[Sealyham]【シーリハムテリア】
n02096051	[Airedale]【エアデールテリア】,[Airedale terrier]【】
n02096177	[cairn]【ケルン】,[cairn terrier]【】
n02096294	[Australian terrier]【オーストラリアン・テリア】
n02096437	[Dandie Dinmont]【ダンディ・ディンモント・テリア】,[Dandie Dinmont terrier]【】
n02096585	[Boston bull]【ボストン・ブルドッグ】,[Boston terrier]【ボストンテリア】
n02097047	[miniature schnauzer]【ミニチュア・シュナウザー】
n02097130	[giant schnauzer]【ジャイアント・シュナウザー】
n02097209	[standard schnauzer]【シュナウザー】
n02097298	[Scotch terrier]【スコッチテリア】,[Scottish terrier]【=Scotch terrier】,[Scottie]【=Scotch terrier】
n02097474	[Tibetan terrier]【チベタン・テリア】,[chrysanthemum dog]【】
n02097658	[silky terrier]【オーストラリアン・シルキー・テリア】,[Sydney silky]【】
n02098105	[soft-coated wheaten terrier]【ソフトコーテッド・ウィートン・テリア】
n02098286	[West Highland white terrier]【ウエスト・ハイランド・ホワイト・テリア】
n02098413	[Lhasa]【ラサ・アプソ】,[Lhasa apso]【ラサ・アプソ】
n02099267	[flat-coated retriever]【フラットコーテッド・レトリーバー】
n02099429	[curly-coated retriever]【カーリーコーテッド・レトリーバー】
n02099601	[golden retriever]【ゴールデン・レトリバー】
n02099712	[Labrador retriever]【ラブラドール・レトリバー】
n02099849	[Chesapeake Bay retriever]【チェサピーク・ベイ・レトリーバー】
n02100236	[German short-haired pointer]【ジャーマン・ショートヘアード・ポインター】
n02100583	[vizsla]【ショートヘアード・ハンガリアン・ビズラ】,[Hungarian pointer]【】
n02100735	[English setter]【イングリッシュセッター】
n02100877	[Irish setter]【アイリッシュ・セッター】,[red setter]【赤毛セッター】
n02101006	[Gordon setter]【ゴードン・セッター】
n02101388	[Brittany spaniel]【】
n02101556	[clumber]【ブリタニー・スパニエル】,[clumber spaniel]【】
n02102040	[English springer]【イングリッシュ・スプリンガー・スパニエル】,[English springer spaniel]【】
n02102177	[Welsh springer spaniel]【ウェルシュ・スプリンガー・スパニエル】
n02102318	[cocker spaniel]【コッカースパニエル】,[English cocker spaniel]【】,[cocker]【】
n02102480	[Sussex spaniel]【サセックス・スパニエル】
n02102973	[Irish water spaniel]【アイリッシュ・ウォーター・スパニエル】
n02104029	[kuvasz]【クーバース】
n02104365	[schipperke]【スキッパーキ】
n02105056	[groenendael]【ベルジアン・シェパード・ドッグ・グローネンダール】
n02105162	[malinois]【ベルジアン・シェパード・ドッグ・マリノア】
n02105251	[briard]【ブリアード】
n02105412	[kelpie]【オーストラリアン・ケルピー】
n02105505	[komondor]【コモンドール】
n02105641	[Old English sheepdog]【オールド・イングリッシュ・シープドッグ】,[bobtail]【切り尾】
n02105855	[Shetland sheepdog]【シェットランド・シープドッグ】,[Shetland sheep dog]【】,[Shetland]【シェトランド諸島】
n02106030	[collie]【コリー種の犬】
n02106166	[Border collie]【ボーダーコリー】
n02106382	[Bouvier des Flandres]【ブービエ・デ・フランダース】,[Bouviers des Flandres]【】
n02106550	[Rottweiler]【ロットワイラー】
n02106662	[German shepherd]【ドイツシェパード犬】,[German shepherd dog]【】,[German police dog]【】,[alsatian]【】
n02107142	[Doberman]【ドーベルマン】,[Doberman pinscher]【ドーベルマンピンシェル】
n02107312	[miniature pinscher]【ミニチュア・ピンシャー】
n02107574	[Greater Swiss Mountain dog]【グレーター・スイス・マウンテン・ドッグ】
n02107683	[Bernese mountain dog]【バーニーズ・マウンテン・ドッグ】
n02107908	[Appenzeller]【アッペンツェラー・キャトル・ドッグ】
n02108000	[EntleBucher]【エントレブッハー・キャトル・ドッグ】
n02108089	[boxer]【ボクサー】
n02108422	[bull mastiff]【ブルマスティフ】
n02108551	[Tibetan mastiff]【チベタン・マスティフ】
n02108915	[French bulldog]【フレンチブルドッグ】
n02109047	[Great Dane]【グレートデーン】
n02109525	[Saint Bernard]【セント・バーナード】,[St Bernard]【】
n02109961	[Eskimo dog]【エスキモー犬】,[husky]【ハスキー】
n02110063	[malamute]【アラスカン・マラミュート】,[malemute]【】,[Alaskan malamute]【】
n02110185	[Siberian husky]【シベリアンハスキー】
n02110341	[dalmatian]【ダルメシアン】,[coach dog]【】,[carriage dog]【】
n02110627	[affenpinscher]【アーフェンピンシャー】,[monkey pinscher]【】,[monkey dog]【】
n02110806	[basenji]【バセンジー】
n02110958	[pug]【[ボクサー犬】,[pug-dog]【】
n02111129	[Leonberg]【レオンバーグ】
n02111277	[Newfoundland]【ニューファンドランド・ラブラドール】,[Newfoundland dog]【】
n02111500	[Great Pyrenees]【グレート・ピレニーズ】
n02111889	[Samoyed]【サモエド】,[Samoyede]【】
n02112018	[Pomeranian]【ポメラニア犬】
n02112137	[chow]【チャウチャウ】,[chow chow]【】
n02112350	[keeshond]【キースホンド】
n02112706	[Brabancon griffon]【ギフォン】
n02113023	[Pembroke]【ペンブローク】,[Pembroke Welsh corgi]【】
n02113186	[Cardigan]【カーディアン】,[Cardigan Welsh corgi]【】
n02113624	[toy poodle]【トイ・プードル】
n02113712	[miniature poodle]【ミニチュア・プードル】
n02113799	[standard poodle]【プードル】
n02113978	[Mexican hairless]【メキシカン・ヘアレス・ドッグ】
n02114367	[timber wolf]【】,[grey wolf]【】,[gray wolf]【】,[Canis lupus]【】
n02114548	[white wolf]【】,[Arctic wolf]【】,[Canis lupus tundrarum]【】
n02114712	[red wolf]【】,[maned wolf]【】,[Canis rufus]【】,[Canis niger]【】
n02114855	[coyote]【コヨーテ】,[prairie wolf]【】,[brush wolf]【】,[Canis latrans]【】
n02115641	[dingo]【ディンゴ】,[warrigal]【】,[warragal]【】,[Canis dingo]【】
n02115913	[dhole]【】,[Cuon alpinus]【】
n02116738	[African hunting dog]【】,[hyena dog]【】,[Cape hunting dog]【】,[Lycaon pictus]【】
n02117135	[hyena]【】,[hyaena]【=hyena】
n02119022	[red fox]【】,[Vulpes vulpes]【】
n02119789	[kit fox]【】,[Vulpes macrotis]【】
n02120079	[Arctic fox]【】,[white fox]【】,[Alopex lagopus]【】
n02120505	[grey fox]【】,[gray fox]【】,[Urocyon cinereoargenteus]【】
n02123045	[tabby]【とら猫】,[tabby cat]【】
n02123159	[tiger cat]【大山猫】
n02123394	[Persian cat]【ペルシア猫】
n02123597	[Siamese cat]【シャムネコ】,[Siamese]【シャムの】
n02124075	[Egyptian cat]【】
n02125311	[cougar]【クーガー】,[puma]【=cougar】,[catamount]【ネコ科の野獣】【ネコ科の野獣】,[mountain lion]【=cougar】,[painter]【もやい綱】,[panther]【=cougar】【=cougar】,[Felis concolor]【】
n02127052	[lynx]【オオヤマネコ】,[catamount]【ネコ科の野獣】【ネコ科の野獣】
n02128385	[leopard]【ヒョウ】,[Panthera pardus]【】
n02128757	[snow leopard]【ユキヒョウ】,[ounce]【=snow leopard】,[Panthera uncia]【】
n02128925	[jaguar]【ジャガー】,[panther]【=cougar】【=cougar】,[Panthera onca]【】,[Felis onca]【】
n02129165	[lion]【ライオン】,[king of beasts]【】,[Panthera leo]【】
n02129604	[tiger]【トラ】,[Panthera tigris]【】
n02130308	[cheetah]【チータ】,[chetah]【】,[Acinonyx jubatus]【】
n02132136	[brown bear]【ヒグマ】,[bruin]【クマ君】,[Ursus arctos]【】
n02133161	[American black bear]【】,[black bear]【(北米産の)黒クマ】,[Ursus americanus]【】,[Euarctos americanus]【】
n02134084	[ice bear]【】,[polar bear]【北極グマ】,[Ursus Maritimus]【】,[Thalarctos maritimus]【】
n02134418	[sloth bear]【】,[Melursus ursinus]【】,[Ursus ursinus]【】
n02137549	[mongoose]【マングース】
n02138441	[meerkat]【】,[mierkat]【】
n02165105	[tiger beetle]【】
n02165456	[ladybug]【テントウムシ】,[ladybeetle]【】,[lady beetle]【】,[ladybird]【】,[ladybird beetle]【】
n02167151	[ground beetle]【】,[carabid beetle]【】
n02168699	[long-horned beetle]【】,[longicorn]【】,[longicorn beetle]【】
n02169497	[leaf beetle]【】,[chrysomelid]【】
n02172182	[dung beetle]【】
n02174001	[rhinoceros beetle]【】
n02177972	[weevil]【ゾウムシ】
n02190166	[fly]【ハエ】
n02206856	[bee]【はち】
n02219486	[ant]【=ain't】,[emmet]【】,[pismire]【アリ】
n02226429	[grasshopper]【バッタ・キリギリス・イナゴの類の総称】,[hopper]【ぴょんぴょん跳びはねる人】
n02229544	[cricket]【クリケット】
n02231487	[walking stick]【ステッキ】,[walkingstick]【】,[stick insect]【ナナフシ】
n02233338	[cockroach]【ゴキブリ】,[roach]【=cockroach（油虫・ゴキブリ）・（短くなった）マリファナたばこの吸いさし・ちなみに「La Cucaracha：ラ・クカラチャ（スペイン語でcockroach）」は、「マリファナがないからもう進めない」という意味のことを歌っています。日本の学校の合唱などで元気よく歌われることが多いようですが、笑えます。】
n02236044	[mantis]【=praying mantis】,[mantid]【】
n02256656	[cicada]【セミ】,[cicala]【】
n02259212	[leafhopper]【ヨコバイ】
n02264363	[lacewing]【】,[lacewing fly]【】
n02268443	[dragonfly]【トンボ】,[darning needle]【かがり針】,[devil's darning needle]【】,[sewing needle]【】,[snake feeder]【】,[snake doctor]【】,[mosquito hawk]【】,[skeeter hawk]【】
n02268853	[damselfly]【イトトンボ】
n02276258	[admiral]【(海軍・艦隊の)司令長官】
n02277742	[ringlet]【巻き毛】,[ringlet butterfly]【】
n02279972	[monarch]【君主】,[monarch butterfly]【】,[milkweed butterfly]【】,[Danaus plexippus]【】
n02280649	[cabbage butterfly]【】
n02281406	[sulphur butterfly]【】,[sulfur butterfly]【】
n02281787	[lycaenid]【】,[lycaenid butterfly]【】
n02317335	[starfish]【ヒトデ】,[sea star]【】
n02319095	[sea urchin]【(海産動物の)ウニ】
n02321529	[sea cucumber]【ナマコ】,[holothurian]【】
n02325366	[wood rabbit]【】,[cottontail]【ワタオウサギ】,[cottontail rabbit]【】
n02326432	[hare]【速く走る】
n02328150	[Angora]【(またAngora cat)アンゴラネコ】,[Angora rabbit]【】
n02342885	[hamster]【ハムスター】
n02346627	[porcupine]【ヤマアラシ】,[hedgehog]【ハリネズミ】
n02356798	[fox squirrel]【】,[eastern fox squirrel]【】,[Sciurus niger]【】
n02361337	[marmot]【マーモット】
n02363005	[beaver]【ビーバー】
n02364673	[guinea pig]【テンジクネズミ】,[Cavia cobaya]【】
n02389026	[sorrel]【くり色】
n02391049	[zebra]【シマウマ】
n02395406	[hog]【豚】,[pig]【豚】,[grunter]【】,[squealer]【キーッとなるもの】,[Sus scrofa]【】【】
n02396427	[wild boar]【イノシシ】,[boar]【(去勢しない)雄ブタ】,[Sus scrofa]【】【】
n02397096	[warthog]【イボイノシシ】
n02398521	[hippopotamus]【カバ】,[hippo]【= hippopotamus】,[river horse]【】,[Hippopotamus amphibius]【】
n02403003	[ox]【雄牛】
n02408429	[water buffalo]【スイギュウ】,[water ox]【】,[Asiatic buffalo]【】,[Bubalus bubalis]【】
n02410509	[bison]【アメリカ野牛】
n02412080	[ram]【雄羊】,[tup]【雄羊】
n02415577	[bighorn]【(ロッキー山脈に住む)オオツノヒツジ】,[bighorn sheep]【】,[cimarron]【】,[Rocky Mountain bighorn]【】,[Rocky Mountain sheep]【オオツノヒツジ】,[Ovis canadensis]【】
n02417914	[ibex]【アイベックス】,[Capra ibex]【】
n02422106	[hartebeest]【シカレイヨウ】
n02422699	[impala]【インバラ】,[Aepyceros melampus]【】
n02423022	[gazelle]【ガゼル】
n02437312	[Arabian camel]【】,[dromedary]【(アラビア産の)ヒトコブラクダ】,[Camelus dromedarius]【】
n02437616	[llama]【ラマ】
n02441942	[weasel]【イタチ】
n02442845	[mink]【ミンク】
n02443114	[polecat]【ケナガイタチ】【ケナガイタチ】,[fitch]【】,[foulmart]【】,[foumart]【】,[Mustela putorius]【】
n02443484	[black-footed ferret]【】,[ferret]【シロイタチ】,[Mustela nigripes]【】
n02444819	[otter]【カワウソ】
n02445715	[skunk]【スカンク】,[polecat]【ケナガイタチ】【ケナガイタチ】,[wood pussy]【】
n02447366	[badger]【〈人〉'を'うるさく悩ませる】
n02454379	[armadillo]【アルマジロ】
n02457408	[three-toed sloth]【】,[ai]【】,[Bradypus tridactylus]【】
n02480495	[orangutan]【】,[orang]【】,[orangutang]【】,[Pongo pygmaeus]【】
n02480855	[gorilla]【ゴリラ】,[Gorilla gorilla]【】
n02481823	[chimpanzee]【黒ショウジョウ】,[chimp]【=chimpanzee】,[Pan troglodytes]【】
n02483362	[gibbon]【(東インド諸島・東南アジア産の)テナガザル】,[Hylobates lar]【】
n02483708	[siamang]【】,[Hylobates syndactylus]【】,[Symphalangus syndactylus]【】
n02484975	[guenon]【】,[guenon monkey]【】
n02486261	[patas]【】,[hussar monkey]【】,[Erythrocebus patas]【】
n02486410	[baboon]【ヒヒ】
n02487347	[macaque]【マカク】
n02488291	[langur]【】
n02488702	[colobus]【】,[colobus monkey]【】
n02489166	[proboscis monkey]【】,[Nasalis larvatus]【】
n02490219	[marmoset]【キヌザル】
n02492035	[capuchin]【】,[ringtail]【】,[Cebus capucinus]【】
n02492660	[howler monkey]【】,[howler]【どなる】
n02493509	[titi]【】,[titi monkey]【】
n02493793	[spider monkey]【】,[Ateles geoffroyi]【】
n02494079	[squirrel monkey]【】,[Saimiri sciureus]【】
n02497673	[Madagascar cat]【】,[ring-tailed lemur]【】,[Lemur catta]【】
n02500267	[indri]【】,[indris]【】,[Indri indri]【】,[Indri brevicaudatus]【】
n02504013	[Indian elephant]【インド象】,[Elephas maximus]【】
n02504458	[African elephant]【アフリカゾウ】,[Loxodonta africana]【】
n02509815	[lesser panda]【】,[red panda]【】,[panda]【パンダ】【パンダ】,[bear cat]【】,[cat bear]【】,[Ailurus fulgens]【】
n02510455	[giant panda]【ジャイアント・パンダ】,[panda]【パンダ】【パンダ】,[panda bear]【】,[coon bear]【】,[Ailuropoda melanoleuca]【】
n02514041	[barracouta]【】,[snoek]【】
n02526121	[eel]【ウナギ】
n02536864	[coho]【】,[cohoe]【】,[coho salmon]【】,[blue jack]【】,[silver salmon]【】,[Oncorhynchus kisutch]【】
n02606052	[rock beauty]【】,[Holocanthus tricolor]【】
n02607072	[anemone fish]【】
n02640242	[sturgeon]【チョウザメ】
n02641379	[gar]【ダツ】,[garfish]【=gar】,[garpike]【】,[billfish]【】,[Lepisosteus osseus]【】
n02643566	[lionfish]【】
n02655020	[puffer]【(またpuffer fish)フグ】,[pufferfish]【】,[blowfish]【】,[globefish]【フグ】
n02666196	[abacus]【そろばん】
n02667093	[abaya]【】
n02669723	[academic gown]【】,[academic robe]【】,[judge's robe]【】
n02672831	[accordion]【アコーディオン】,[piano accordion]【鍵盤付きアコーディオン】,[squeeze box]【】
n02676566	[acoustic guitar]【アコースティックギター】
n02687172	[aircraft carrier]【=carrier4】,[carrier]【運搬する人】,[flattop]【=crew-cut】,[attack aircraft carrier]【】
n02690373	[airliner]【(大型の)定期旅客機】
n02692877	[airship]【飛行船】,[dirigible]【気球】
n02699494	[altar]【祭壇】
n02701002	[ambulance]【救急車】
